"Text","Sentiment"
"ok",2
"máy mới sạc chưa sài mà đã hết pin .cảm ứng rất chậm",0
"Máy bền, bé làm rơi nhiều lần mà không bị hỏng.",2
"Nhưng khi chơi game nhẹ thì OK game nặng giật tung đít với các chip 8lõi mà yếu hơn cả chip 4 lõi Snapdragon 425 ....ae chơi game không nên mua mặc dù thông số là thật đã kiểm tra bằn phần mền untutu 68k điểm nhưng liên quân low seeting vẫn tụt fps...",1
"Tôi dùng con này hơn 1 năm rồi, rớt mấy lần mà bây giờ vẫn xài tốt, hồi trước mua 4 triệu 9 luôn :(
Nhược điểm là bộ nhớ trong quá ít 4GB mà hệ thống chiếm hết hơn 1/2 còn trống có 2gb là cao, hệ điều hành ko update gì hết, 4.1 là ko up lên được nữa",1
"nhận máy xong thật sự thất vọng về chất lượng. Kiểm tra xong thấy máy bị hở ở mép màn hình, Tem bảo hành cũng rách luôn. Shop trả lời là lỗi do người sử dụng do nhận máy đã 5 ngày rồi. Thôi thì lỗi của mình ham giảm giá và mở hàng ra chậm trễ. Đăng lên để người mua sau biết mà tránh mua hàng củ qua mạng. Nên đi mua trực tiếp cho yên tâm về chất lượng.",0
"Chay con thua cai may cui chip 4 nhan 1.3g nữa. thấy chíp 8 nhân 2g ram mua về chơi lien quân cho đã. Mua zìa máy nhu lo . Thua cái máy cui bap chip 4 nhân cùi t. Hic hic... tình hình là sản phẩm hàng nhái mà không đc đổi trã. hiễu anh em làm ăn luôn. Bye bye lazada .",0
"máy chất lượng kém mua dược 2ngay loa đã rè bin nhanh hết",0
"hiện tại máy mình dùng thử thấy hay bị lỗi kết nối mạng WiFi! đang online thì bị offline rồi một lúc sau thì lại vào được! WiFi nhà m ổn định, đã kiểm tra trên các thiết bị khác nhưng không bị mất kết nối. shop check giúp!",0
"Mình mua hàng của lazada cũng nhiều nhưng dạo này hàng xấu và lỗi ko, mua điện thoại thì giao điện thoại cũ. Hàng này thì ko xóa dc....",0
"hang tuongdoi tot nhung phanmem shop nam o dau vayshopco lua gatphai khong",2
"♡♡♡♡♡😄",1
"chụp hình hơi xấu,máy chậm thua samsung lâu hết pin",1
"Pin máy chỉ dùng trong 2tieng là hết pin,mình nghĩ là khoản 2000 không phải 4000 dau",0
"I am very upset! I did not see in your product description that this tablet is only for the Chinese market! Now I need to try hard to install the global version for use !!",1
"sp mau hết pin, trung bình tụt 1% pin trong 1 giờ khi ở chế độ chời,nt với shop thì shop không bao giờ xem.",0
"Máy mượt pin trâu. Mỗi tội cài chplay với tiếng việt khó quá. Giờ vẫn chưa cài đc",2
"sp tốt đúng như mô tả",2
"Giá này quá ok rồi. Chơi game tầm trung thôi nhưng giải trí phim, nhạc, web quá Ok.",2
"Sản phẩm nguyên seal,chất lượng,cần thời gian để đánh giá",2
"máy mới nên mọi thứ đều tốt . cám ơn shop.",2
"máy nguyên seal, đẹp nhưng kính cường lực kèm theo đã nứt.",1
"khong sai duoc sim Vietnamobile",0
"hết pin sạc không vô và mở máy không được vậy phải làm sao?",0
"hình ảnh màu sắc o đẹp...hơi loạn cảm ứng... phí tiền quá..ngu thật..Thôi coi như mua về làm đồ chơi cho bé nghịch",0
"đóng gói cẩn thận, máy hơi ọp ẹp ,loa chất lượng kém , màn hình ổn ,camera yếu , nói chung tiền nào của ấy , tốt trong tầm giá,",1
"Ok gia tien phu hop soi sp",2
"on the fourth day the tablet died!",0
"Toi muon tra hang hang bi loi",0
"máy Sài tốt sử dụng rất ok cảm ơn shop nhìu",2
"gọi điện báo đơn hàng dặn kỹ nhưng dao là máy cũ sước mặt nhiều. bưc hết cả mình",0
"tot lm shop oi",2
"Tệ....hàng bị lỗi ko xài được",0
"giao hàng nhanh. 2 ngay ruoi là nhận dc hàng r.. máy chạy tốt.. màn hình rõ nét.. ok shop. nhưng loa hơi nhỏ..",2
"hàng ôm có cái là độ sắc nét k được đẹp",1
"Nhìn chung ok nhung hok bjk lăp sim cho nao",2
"đẹp và ok ",2
"Mình đã nhận hàng nhưng khi mở khe sim ra thì đã có sẵn 1 sim trong đó Mình đã nhận hàng nhưng khi mở khe sim ra thì đã có sẵn 1 sim trong đó còn lại mình đang dùng nên chưa đánh giá được
Giao hàng nhanh",2
"Máy ngon,pin trâu,bắt sóng tốt mọi thứ gần như hoàn hảo ngoại trừ màn hình hơi nhạt (chân thực),không đc nịnh mắt như các sản phẩm khác.",2
"Hàng mới nguyên seal 100%. Đã dùng được 3 ngày và rất hài lòng về sản phẩm.",2
"Sản phẩm nguyên seal. Giao hàng lâu",2
"rất good , máy nguyên seal , mô tả như hình ,giao hag2 nhah",2
"Lần này giao nhanh",2
"Sản phẩm tốt. ",2
"Item ordered is Xiaomi Mipad 4 LTE. ",2
"tốt, ",2
"ok",2
"Hàng giao đúng như mô tả, mẫu mã đẹp, chất lượng tạm ổn, chờ trải nghiệm thêm",2
"Sản phẩm OK, đúng như những gì Shop nêu, muốn sử dụng văn bản phải cài office hơi mất công, máy chạy ổn, độ bền chưa biết... nhân viên nhiệt tình hướng dẫn, cảm ơn.!.",2
"máy tính bảng máy đẹp quá 
coi phim quá đã
máy mượt mà 
shop bán hàng có tâm",2
"sac ko vô.. củ sac samsung..ko sac dc .",0
"😂😂😂😂😂😂😂😂",1
"Máy nguyên siu hàng dùng tốt trong tầm giá",2
"máy sài thì OK... nhưng tải game k DC shop ơi",1
"rất ok ,đúng mẫu đặt hàng",2
"đã nhận hàng, máy đẹp , pin xài lâu, chơi liên minh mượt mà.....đáng tiền. Cám ơn lazada",2
"qua ngon thank shop nha co gi lan sau ae mua tiep",2
"ok hang ok ",2
"máy hư ko hoạt động.cảm ứng bị đơ.kết nối wi-fi ko được.mà ko cho đổi.làm mất qui tính lazada",0
"máy rất cham và kg mở được màng hình lên liên nữa hay bị đứng máy 
cả ngày kg chơi gì hết mà nó cứ kêu vậy hoài",0
"Trả hàng lại nhưng k nhận được tiền vì báo lại là do mình đóng gói k cẩn thận bị vỡ nên mình k nhận lại được tiền , coi như là mất gần 1 tr",0
"muốn được đổi lại",0
"mau hết pin",0
"máy đẹp, cảm ứng mượt. Máy rẻ nhưng chất lượng không rẻ Rất hài lòng.
mấy comment chê thì mấy bạn này nên mua máy 5-10 triệu mà dùng. Tiền it mà đòi hit ... thơm",2
"tệ",0
"máy gì mà mau hết bin quá, xài chán lắm ",0
"máy chỉ hơi lag 1 chút, còn lại ok",1
"Love my new kindle fire 7, thanks!!!",2
"Sản phẩm tốt, bọc kĩ càng, tuy nhiên giao bị chậm.",2
"Sản phẩm đúng mô tả, giao hàng nhanh.",2
"ko tải game vn dc haizz",1
"Mới sử dụng trước mắt cho 5 sao ",2
"không cần nói nhiều, đúng như quảng cáo, hàng chính hãng, nguyên seal",2
"Màn hình sắc nét 2k, khá bự, máy full tiếng Việt chạy mượt, giá lại quá rẻ, phụ kiện đầy đủ sạc, cáp, dán màn, bao da, đủ dùng luôn, shop này làm ăn có tâm, cần phát huy, tết sẽ cố gom tiền mua thêm 1 máy về làm quà tặng cho gia đình",2
"Máy ổn, màn hình nét, chạy mượt, camera hơi xước nhưng chụp ảnh không bị ảnh hưởng, pin trâu, nói chung chất lượng ổn, đáng tiền, giá lại rẻ",2
"Dùng được 1 tuần máy vẫn ổn, chạy mượt",2
"máy dẹp tốt rẻ",2
